"Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Kolahun",8.28,-10.08,655480,20020610,74.3,"MAN",-7.51,7.38,"C"
1997,"Battles","ULIMO K","NPFL: National Patriotic Front Liberia","Liberia","Nimba","Ganta",7.23,-8.98,655480,19970717,75.19,"MAN",-7.51,7.38,"C"
1999,"Battles","Military Forces of Liberia (1997-2003)","JFLL: Joint Forces for the Liberation of Liberia","Liberia","Grand Cape Mount","Benduma",7.19,-10.99,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","Military Forces of Liberia (1997-2003)","JFLL: Joint Forces for the Liberation of Liberia","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","JFLL: Joint Forces for the Liberation of Liberia","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","Military Forces of Liberia (1997-2003)","ULIMO J","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","Military Forces of Liberia (1997-2003)","ULIMO J","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","Military Forces of Liberia (1997-2003)","JFLL: Joint Forces for the Liberation of Liberia","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","Military Forces of Liberia (1997-2003)","JFLL: Joint Forces for the Liberation of Liberia","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","JFLL: Joint Forces for the Liberation of Liberia","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","JFLL: Joint Forces for the Liberation of Liberia","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Battles","JFLL: Joint Forces for the Liberation of Liberia","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Riots","Protesters","Police Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
1999,"Violence against civilians","Military Forces of Liberia (1997-2003)","Civilians (Sierra Leone)","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","Military Forces of Liberia (1997-2003)","MODEL: Movement for Democracy in Liberia","Liberia","Nimba","Tappita",6.49,-8.86,655600,20030420,77,"DALOA",-6.46,6.86,"C"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030721,77,"LUNGI",-13.19,8.61,"C"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030721,77,"LUNGI",-13.19,8.61,"C"
2003,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030721,77,"LUNGI",-13.19,8.61,"C"
1999,"Riots","Protesters","Police Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,19990724,77.4,"NZEREKORE",-8.3,7.75,"C"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (2003-2005)","Liberia","Bong","Bong",6.61,-9.19,618490,20030819,77.4,"NZEREKORE",-8.3,7.75,"C"
1998,"Violence against civilians","Military Forces of Liberia (1997-2003)","Civilians (Liberia)","Liberia","Montserrado","Harbel",6.28,-10.35,655480,19980717,77.9,"MAN",-7.51,7.38,"C"
1999,"Battles","RUF: Revolutionary United Front of Sierra Leone","ECOMOG: Economic Community of West African States Monitoring Group (Sierra Leone)","Guinea","Nzerekore","Gbala",7.48,-8.77,618490,19990316,77.9,"NZEREKORE",-8.3,7.75,"C"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Kolahun",8.28,-10.08,618330,20020710,77.9,"FARANAH/BADALA",-10.75,10.03,"C"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Kolahun",8.02,-10.27,618330,20020710,77.9,"FARANAH/BADALA",-10.75,10.03,"C"
2002,"Violence against civilians","Police Forces of Liberia (2003-)","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20020908,77.9,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Guinea (1984-2008)","Guinea","Kindia","Bramaia",10.47,-13.47,618180,20000913,78.09,"KINDIA",-12.86,10.05,"C"
2000,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Guinea (1984-2008)","Guinea","Kindia","Bramaia",10.47,-13.47,618180,20000913,78.09,"KINDIA",-12.86,10.05,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Ganglota",7.42,-9.5,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Ganglota",7.42,-9.5,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Gorlu",7.51,-9.47,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Salayea",7.61,-9.5,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Salayea",7.61,-9.5,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Gorlu",7.51,-9.47,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Zorzor",7.78,-9.43,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Zorzor",7.78,-9.43,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Unidentified Armed Group (Liberia)","Civilians (Guinea)","Guinea","Nzerekore","Beyero",7.76,-9.18,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbatala",6.88,-9.67,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Lofa County",7.91,-10,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
2000,"Violence against civilians","Civilians (Guinea)","RUF: Revolutionary United Front of Sierra Leone","Guinea","Kindia","Monkuru",9.1,-13.19,618320,20000914,78.4,"CONAKRY/GBESSIA",-13.61,9.56,"C"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Sierra Leone)","Guinea","Kindia","Pamalap",9.18,-12.97,618320,20000914,78.4,"CONAKRY/GBESSIA",-13.61,9.56,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bakedu",8.28,-9.63,618490,20000819,78.8,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bakedu",8.28,-9.63,618490,20000819,78.8,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bakedu",8.28,-9.63,618490,20000819,78.8,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bakedu",8.28,-9.63,618490,20000819,78.8,"NZEREKORE",-8.3,7.75,"C"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bakedu",8.28,-9.63,618490,20000819,78.8,"NZEREKORE",-8.3,7.75,"C"
